image_id,num_potholes,x,y,w,h
G0010033,6,1990,1406,66,14
G0010033,6,1464,1442,92,16
G0010033,6,1108,1450,54,16
G0010033,6,558,1434,102,16
G0010033,6,338,1450,72,18
G0010033,6,262,1450,58,22
G0010034,5,1804,1424,90,16
G0010034,5,1192,1484,110,16
G0010034,5,782,1502,74,16
G0010034,5,566,1494,106,22
G0010034,5,210,1484,104,22
G0010035,4,1590,1452,106,24
G0010035,4,840,1544,132,28
G0010035,4,368,1584,96,22
G0010035,4,136,1576,138,30
G0010036,3,1322,1516,134,28
G0010036,3,362,1658,156,38
G0010036,3,1744,1522,58,16
G0010037,2,884,1638,190,52
G0010037,2,1428,1654,98,26
G0010109,2,1984,1346,42,16
G0010109,2,1894,1330,48,10
G0010110,2,2002,1370,58,18
G0010110,2,1896,1342,50,16
G0010111,7,2022,1434,76,22
G0010111,7,1880,1384,60,12
G0010111,7,1900,1358,54,14
G0010111,7,1958,1348,72,16
G0010111,7,2088,1326,50,16
G0010111,7,2034,1314,46,12
G0010111,7,2050,1300,38,6
G0010112,9,1922,1530,252,80
G0010112,9,1844,1424,86,26
G0010112,9,1862,1390,94,16
G0010112,9,1938,1370,100,18
G0010112,9,2102,1340,78,16
G0010112,9,2028,1326,60,16
G0010112,9,2054,1304,46,12
G0010112,9,1982,1304,42,8
G0010112,9,1934,1298,28,6
G0010113,8,1790,1526,124,38
G0010113,8,1878,1456,68,24
G0010113,8,1936,1424,110,24
G0010113,8,2140,1378,86,18
G0010113,8,2044,1356,68,20
G0010113,8,2068,1322,42,10
G0010113,8,1986,1326,48,10
G0010113,8,1926,1316,32,8
G0010114,8,1722,1746,156,20
G0010114,8,1832,1570,110,28
G0010114,8,1928,1502,162,44
G0010114,8,2190,1414,108,28
G0010114,8,2054,1388,96,24
G0010114,8,2090,1336,44,8
G0010114,8,1992,1340,46,12
G0010114,8,1924,1326,38,12
G0010115,6,1932,1676,286,88
G0010115,6,2310,1488,146,32
G0010115,6,2114,1434,116,36
G0010115,6,2136,1354,50,10
G0010115,6,2018,1360,66,16
G0010115,6,1942,1342,38,12
G0010116,8,2572,1642,254,74
G0010116,8,2226,1558,180,42
G0010116,8,2412,1544,114,34
G0010116,8,2238,1524,180,30
G0010116,8,2078,1394,84,22
G0010116,8,2222,1408,48,12
G0010116,8,2224,1386,68,16
G0010116,8,1976,1368,58,12
G0010117,8,1952,1630,166,42
G0010117,8,2114,1452,116,22
G0010117,8,2290,1444,102,18
G0010117,8,2310,1476,64,16
G0010117,8,1984,1406,72,16
G0010117,8,2128,1380,36,8
G0010117,8,2366,1554,56,20
G0010117,8,2014,1306,26,6
G0010118,8,2066,1520,156,48
G0010118,8,2310,1508,136,30
G0010118,8,2346,1570,94,28
G0010118,8,1880,1438,104,22
G0010118,8,2068,1400,44,10
G0010118,8,2074,1426,40,12
G0010118,8,1924,1318,26,10
G0010118,8,1928,1300,28,10
G0010119,6,1996,1690,248,76
G0010119,6,2370,1644,206,66
G0010119,6,1746,1514,138,40
G0010119,6,2000,1448,48,12
G0010119,6,1828,1336,26,6
G0010119,6,1840,1310,20,8
G0010120,5,1604,1668,216,88
G0010120,5,1986,1530,74,22
G0010120,5,2010,1616,74,40
G0010120,5,1788,1354,28,8
G0010120,5,1802,1324,30,6
G0010121,3,2148,1690,110,46
G0010121,3,1866,1370,32,10
G0010121,3,1884,1330,32,8
G0010122,2,1960,1396,48,14
G0010122,2,1982,1342,36,10
G0010123,2,1932,1440,64,20
G0010123,2,1954,1364,42,12
G0010124,2,1876,1508,92,30
G0010124,2,1916,1390,48,12
G0010125,2,1796,1626,136,64
G0010125,2,1868,1418,60,18
G0010126,1,1840,1464,76,26
G0010127,1,1818,1552,110,34
G0010128,3,1760,1720,174,48
G0010128,3,1854,1510,66,22
G0010128,3,2344,1522,52,18
G0010148,6,1464,1632,68,36
G0010148,6,1978,1372,58,12
G0010148,6,1978,1348,36,10
G0010148,6,1744,1372,26,6
G0010148,6,1784,1406,48,8
G0010148,6,1738,1356,30,8
G0010149,9,1982,1422,74,10
G0010149,9,1986,1380,42,8
G0010149,9,1946,1434,46,10
G0010149,9,1728,1476,58,12
G0010149,9,1688,1416,38,8
G0010149,9,1730,1396,54,8
G0010149,9,1692,1390,28,12
G0010149,9,1720,1378,28,12
G0010149,9,1752,1374,30,10
G0010150,10,1598,1604,90,28
G0010150,10,1940,1518,70,16
G0010150,10,1994,1494,104,18
G0010150,10,1994,1418,56,14
G0010150,10,1980,1406,42,10
G0010150,10,1592,1476,56,14
G0010150,10,1658,1442,52,10
G0010150,10,1610,1432,40,14
G0010150,10,1660,1416,36,10
G0010150,10,1696,1408,48,10
G0010151,10,1936,1730,118,28
G0010151,10,2010,1660,180,34
G0010151,10,2010,1492,76,14
G0010151,10,1986,1470,56,12
G0010151,10,1410,1596,94,24
G0010151,10,1536,1520,96,26
G0010151,10,1478,1506,70,22
G0010151,10,1554,1476,62,18
